color_original,color_normalized,type,is_token,property,file,line,snippet
"#646cffaa","rgba(100,108,255,0.667)","hex",false,"filter","src/App.css",15,"filter: drop-shadow(0 0 2em #646cffaa);"
"#61dafbaa","rgba(97,218,251,0.667)","hex",false,"filter","src/App.css",19,"filter: drop-shadow(0 0 2em #61dafbaa);"
"#040404","rgba(4,4,4,1)","hex",false,"http","src/assets/icons/Black Logo.svg",1,"<svg id=""svg"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" width=""400"" he"
"#080404","rgba(8,4,4,1)","hex",false,"http","src/assets/icons/Black Logo.svg",1,"<svg id=""svg"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" width=""400"" he"
"#080404","rgba(8,4,4,1)","hex",false,"http","src/assets/icons/Black Logo.svg",1,"<svg id=""svg"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" width=""400"" he"
"#080404","rgba(8,4,4,1)","hex",false,"http","src/assets/icons/Black Logo.svg",1,"<svg id=""svg"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" width=""400"" he"
"#080404","rgba(8,4,4,1)","hex",false,"http","src/assets/icons/Black Logo.svg",1,"<svg id=""svg"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" width=""400"" he"
"#f47434","rgba(244,116,52,1)","hex",false,"http","src/assets/icons/logo-header.svg",1,"<svg id=""svg"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" width=""400"" he"
"#7cccdc","rgba(124,204,220,1)","hex",false,"http","src/assets/icons/logo-header.svg",1,"<svg id=""svg"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" width=""400"" he"
"#82d4dc","rgba(130,212,220,1)","hex",false,"http","src/assets/icons/logo-header.svg",1,"<svg id=""svg"" version=""1.1"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" width=""400"" he"
